"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage""Inbetriebnahmedatum der KWK-Anlage""Elektrische KWK-Leistung""Thermische Nutzleistung in kW"
"SEE901142632060";"WEA Benzweiler 3";"In Betrieb";"Wind";"3300";"3300";"27.7.2017";"14.1.2021";"Rheinland-Pfalz";"55494";"Benzweiler";"";"";"Benzweiler";"7, 4/2";"07140011";"50,033701";"7,612498";"";"";"Benzweiler";"137";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"14.1.2021";"";"";"Windpark Benzweiler GmbH & Co. KG";"ABR995884249136";"Volleinspeisung";"SGE902220876260";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL981010793260";"EEG950796599342";"E3123801W000000000003699450156477";"27.7.2017";"";""""""""
"SEE917885024376";"WEA Benzweiler 4";"In Betrieb";"Wind";"3300";"3300";"26.7.2017";"14.1.2021";"Rheinland-Pfalz";"55494";"Benzweiler";"";"";"Benzweiler";"Flur 1; Flurstück 47";"07140011";"50,039376";"7,61671";"";"";"Benzweiler";"137";"126";"Vestas Deutschland GmbH";"V126";"";"";"Horizontalläufer";"Windkraft an Land";"13.7.2021";"";"";"Windpark Benzweiler GmbH & Co. KG";"ABR995884249136";"Volleinspeisung";"SGE902220876260";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"In Prüfung";"Mittelspannung";"SEL916229092514";"EEG938997939815";"E3123801W000000000003699450156473";"26.7.2017";"";""""""""
"SEE935811347276";"E48784-01";"In Betrieb";"Wind";"800";"800";"19.9.2006";"14.1.2021";"Rheinland-Pfalz";"55278";"Selzen";"Gaustraße";"";"";"";"07339053";"49,852576";"8,268108";"";"";"Windpark Selzen";"76";"48";"ENERCON GmbH";"E48";"";"";"Horizontalläufer";"Windkraft an Land";"15.4.2021";"";"";"Roes Forst GmbH & Co. KG";"ABR900923438938";"Volleinspeisung";"";"EWR Netz GmbH (SNB969068596941)";"SNB969068596941";"Geprüft";"Mittelspannung";"SEL934952153784";"EEG923212543168";"E32954010200000000003623800111230";"19.9.2006";"";""""""""
"SEE997676262873";"Goldberg 5";"Endgültig stillgelegt";"Wind";"300";"300";"9.2.1993";"16.1.2021";"Rheinland-Pfalz";"54597";"Ormont";"";"";"Ormont";"3 59 +84/1";"07233232";"50,33294";"6,459092";"";"";"Goldberg";"34";"33";"ENERCON GmbH";"E33";"";"";"Horizontalläufer";"Windkraft an Land";"8.4.2021";"16.1.2017";"";"";"";"Volleinspeisung";"SGE942383098550";"";"";"";"Mittelspannung";"";"EEG990907599052";"E31238010000030212000000630318068";"9.2.1993";"";""""""""
"SEE991096813004";"Goldberg 6";"Endgültig stillgelegt";"Wind";"300";"300";"9.2.1993";"16.1.2021";"Rheinland-Pfalz";"54597";"Ormont";"";"";"Ormont";"3 59+ 84/1";"07233232";"50,333498";"6,45789";"";"";"Goldberg";"34";"33";"ENERCON GmbH";"E33";"";"";"Horizontalläufer";"Windkraft an Land";"8.4.2021";"16.1.2017";"";"";"";"Volleinspeisung";"SGE942383098550";"";"";"";"Mittelspannung";"";"EEG932779652237";"E31238010000030212000000630318069";"9.2.1993";"";""""""""
"SEE967058034527";"Goldberg 7";"Endgültig stillgelegt";"Wind";"300";"300";"9.2.1993";"16.1.2021";"Rheinland-Pfalz";"54597";"Ormont";"";"";"Ormont";"3 59+ 84/1";"07233232";"50,334554";"6,456895";"";"";"Goldberg";"34";"33";"ENERCON GmbH";"E33";"";"";"Horizontalläufer";"Windkraft an Land";"8.4.2021";"16.1.2017";"";"";"";"Volleinspeisung";"SGE942383098550";"";"";"";"Mittelspannung";"";"EEG957566842752";"E31238010000030212000000630318070";"9.2.1993";"";""""""""
"SEE928619868562";"WEA 1 / SNR 1150176";"In Betrieb";"Wind";"3000";"3000";"19.2.2016";"18.1.2021";"Rheinland-Pfalz";"56290";"Dommershausen";"";"";"Sabershausen";"6 Flst. 1/13";"07140202";"50,123727";"7,44575";"";"";"Windpark Dommershausen";"149";"115";"ENERCON GmbH";"E-115";"";"";"Horizontalläufer";"Windkraft an Land";"20.1.2021";"";"";"Windfreunde Wechsel & Höhenwind Infrastruktur GbR";"ABR963717798076";"Volleinspeisung";"SGE990727635763";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL904486227640";"EEG980319321488";"E31238010000000000000039833506082";"19.2.2016";"";""""""""
"SEE960279097616";"WEA 2 / SNR 1150177";"In Betrieb";"Wind";"3000";"3000";"29.12.2015";"18.1.2021";"Rheinland-Pfalz";"56290";"Dommershausen";"";"";"Sabershausen";"6 Flst. 1/13";"07140202";"50,123428";"7,441521";"";"";"Windpark Dommershausen";"149";"115";"ENERCON GmbH";"E-115";"";"";"Horizontalläufer";"Windkraft an Land";"20.1.2021";"";"";"Windfreunde Wechsel & Höhenwind Infrastruktur GbR";"ABR963717798076";"Volleinspeisung";"SGE990727635763";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL904486227640";"EEG951138109588";"E31238010000000000000039833506083";"29.12.2015";"";""""""""
"SEE952889881495";"KA01";"In Betrieb";"Wind";"3300";"3300";"23.12.2016";"18.1.2021";"Rheinland-Pfalz";"54589";"Kerschenbach";"";"";"Kerschenbach";"6 Flurstück 1";"07233219";"50,328076";"6,476113";"";"";"Windpark Obere Kyll GmbH & Co. KG";"140";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"11.1.2022";"";"";"Windpark Obere Kyll GmbH & Co. KG";"ABR964611749218";"Volleinspeisung";"SGE906386051424";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"In Prüfung";"Hochspannung";"SEL938299105369";"EEG986814221995";"E3123801W000000000004674591216332";"23.12.2016";"";""""""""
"SEE903831454502";"KA02";"In Betrieb";"Wind";"3300";"3300";"30.12.2016";"18.1.2021";"Rheinland-Pfalz";"54589";"Kerschenbach";"";"";"Kerschenbach";"6 Flurstück 1";"07233219";"50,324222";"6,472173";"";"";"Windpark Obere Kyll GmbH & Co. KG";"140";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"11.1.2022";"";"";"Windpark Obere Kyll GmbH & Co. KG";"ABR964611749218";"Volleinspeisung";"SGE906386051424";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"In Prüfung";"Hochspannung";"SEL938299105369";"EEG974301443319";"E3123801W000000000004674591216328";"30.12.2016";"";""""""""
"SEE994001035645";"KA03";"In Betrieb";"Wind";"3300";"3300";"16.12.2016";"18.1.2021";"Rheinland-Pfalz";"54589";"Kerschenbach";"";"";"Kerschenbach";"6 Flurstück 1";"07233219";"50,320493";"6,476909";"";"";"Windpark Obere Kyll GmbH & Co. KG";"140";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"26.8.2021";"";"";"Windpark Obere Kyll GmbH & Co. KG";"ABR964611749218";"Volleinspeisung";"SGE906386051424";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL938299105369";"EEG979767745694";"E3123801V000000000000046747234787";"16.12.2016";"";""""""""
"SEE918452977811";"KA04";"In Betrieb";"Wind";"3300";"3300";"21.12.2016";"18.1.2021";"Rheinland-Pfalz";"54589";"Kerschenbach";"";"";"Kerschenbach";"7 Flurstück 1";"07233219";"50,316821";"6,475586";"";"";"Windpark Obere Kyll GmbH & Co. KG";"140";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"26.8.2021";"";"";"Windpark Obere Kyll GmbH & Co. KG";"ABR964611749218";"Volleinspeisung";"SGE906386051424";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL938299105369";"EEG985420580731";"E3123801V000000000000046747216577";"21.12.2016";"";""""""""
"SEE980477784378";"WEA 2532";"In Betrieb";"Wind";"600";"600";"20.6.1997";"19.1.2021";"Rheinland-Pfalz";"56290";"Beltheim";"";"";"Beltheim";"3 Flst. 45/1, 2";"07140010";"50,112125";"7,451218";"";"";"Windpark Beltheim";"63";"44";"Vestas Deutschland GmbH";"V44-600 kW";"";"";"Horizontalläufer";"Windkraft an Land";"22.1.2021";"";"";"Höhenwind GmbH & Co. Beltheim KG";"ABR940098347109";"Volleinspeisung";"SGE935234940726";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL993542446361";"EEG993154525782";"E31238010000020120000007635809808";"20.6.1997";"";""""""""
"SEE920500099635";"KA05";"In Betrieb";"Wind";"3300";"3300";"8.12.2016";"19.1.2021";"Rheinland-Pfalz";"54589";"Kerschenbach";"";"";"Kerschenbach";"7 Flurstück 1";"07233219";"50,319012";"6,48248";"";"";"Windpark Obere Kyll GmbH & Co. KG";"140";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"26.8.2021";"";"";"Windpark Obere Kyll GmbH & Co. KG";"ABR964611749218";"Volleinspeisung";"SGE906386051424";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL938299105369";"EEG927785225360";"E3123801W000000000004674571216141";"8.12.2016";"";""""""""
"SEE915749726350";"KA06";"In Betrieb";"Wind";"3300";"3300";"2.2.2017";"19.1.2021";"Rheinland-Pfalz";"54589";"Kerschenbach";"";"";"Kerschenbach";"7 Flurstück 1";"07233219";"50,314954";"6,479941";"";"";"Windpark Obere Kyll GmbH & Co. KG";"140";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"24.11.2021";"";"";"Windpark Obere Kyll GmbH & Co. KG";"ABR964611749218";"Volleinspeisung";"SGE906386051424";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL938299105369";"EEG918529782386";"E3123801W000000000004674571216738";"2.2.2017";"";""""""""
"SEE987299193173";"KA07";"In Betrieb";"Wind";"3300";"3300";"2.2.2017";"19.1.2021";"Rheinland-Pfalz";"54589";"Kerschenbach";"";"";"Kerschenbach";"8 Flurstück 7/1";"07233219";"50,322098";"6,483329";"";"";"Windpark Obere Kyll GmbH & Co. KG";"140";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"26.8.2021";"";"";"Windpark Obere Kyll GmbH & Co. KG";"ABR964611749218";"Volleinspeisung";"SGE906386051424";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL938299105369";"EEG984416699495";"E3123801W000000000004674571216739";"2.2.2017";"";""""""""
"SEE919942057457";"KG01";"In Betrieb";"Wind";"3300";"3300";"25.1.2017";"19.1.2021";"Rheinland-Pfalz";"54589";"Kerschenbach";"";"";"Kerschenbach";"5 Flurstück 2";"07233219";"50,333494";"6,481209";"";"";"Windpark Obere Kyll GmbH & Co. KG";"140";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"11.1.2022";"";"";"Windpark Obere Kyll GmbH & Co. KG";"ABR964611749218";"Volleinspeisung";"SGE906386051424";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL938299105369";"EEG920647510024";"E3123801V000000000000046747416329";"25.1.2017";"";""""""""
"SEE961756454663";"KG02";"In Betrieb";"Wind";"3300";"3300";"17.2.2017";"19.1.2021";"Rheinland-Pfalz";"54589";"Kerschenbach";"";"";"Kerschenbach";"5 Flurstück 2";"07233219";"50,336922";"6,486663";"";"";"Windpark Obere Kyll GmbH & Co. KG";"140";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"11.1.2022";"";"";"Windpark Obere Kyll GmbH & Co. KG";"ABR964611749218";"Volleinspeisung";"SGE933206371172";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Hochspannung";"SEL938299105369";"EEG964182780184";"E3123801V000000000000046747416737";"17.2.2017";"";""""""""
"SEE996420062882";"OA01";"In Betrieb";"Wind";"3300";"3300";"29.9.2017";"19.1.2021";"Rheinland-Pfalz";"54597";"Ormont";"";"";"Ormont";"4 Flurstück 1";"07233232";"50,334766";"6,472681";"";"";"Windpark Obere Kyll GmbH & Co. KG";"140";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"11.5.2021";"";"";"Windpark Obere Kyll GmbH & Co. KG";"ABR964611749218";"Volleinspeisung";"SGE926612223364";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL987577239852";"EEG912362125867";"E3123801W000000000005027551213813";"29.9.2017";"";""""""""
"SEE993750644429";"OA02";"In Betrieb";"Wind";"3300";"3300";"29.9.2017";"19.1.2021";"Rheinland-Pfalz";"54597";"Ormont";"";"";"Ormont";"4 Flurstück 1";"07233232";"50,329906";"6,467599";"";"";"Windpark Obere Kyll GmbH & Co. KG";"140";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"14.12.2021";"";"";"Windpark Obere Kyll GmbH & Co. KG";"ABR964611749218";"Volleinspeisung";"SGE926612223364";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"In Prüfung";"Hochspannung";"SEL929839079011";"EEG991791901105";"E3123801W000000000004674591221669";"29.9.2017";"";""""""""
"SEE974207082094";"Höheinöd W123";"In Betrieb";"Wind";"2300";"2300";"24.1.2006";"19.1.2021";"Rheinland-Pfalz";"66989";"Höheinöd";"";"";"Höheinöd";"Flur729";"07340022";"49,302891";"7,609465";"";"";"WP Höheinöd";"114";"70";"ENERCON GmbH";"E70";"";"";"Horizontalläufer";"Windkraft an Land";"9.3.2021";"";"";"juWi Beteiligungs GmbH & Co. NaturPower 13 KG";"ABR957779923477";"Volleinspeisung";"SGE945326246193";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Mittelspannung";"SEL933646124727";"EEG925912248992";"E30254010000000000005230790606676";"24.1.2006";"";""""""""
"SEE952226699714";"Höheinöd W124";"In Betrieb";"Wind";"2300";"2300";"2.2.2006";"19.1.2021";"Rheinland-Pfalz";"66989";"Höheinöd";"";"";"Höheinöd";"Flur:734.Flur:735";"07340022";"49,30543";"7,61455";"";"";"WP Höheinöd";"114";"70";"ENERCON GmbH";"E70";"";"";"Horizontalläufer";"Windkraft an Land";"9.3.2021";"";"";"juWi Beteiligungs GmbH & Co. NaturPower 13 KG";"ABR957779923477";"Volleinspeisung";"SGE945326246193";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Mittelspannung";"SEL933646124727";"EEG957029884411";"E30254010000000000005230790601754";"2.2.2006";"";""""""""
"SEE942556413395";"Walhausen W174";"In Betrieb";"Wind";"2000";"2000";"14.6.2005";"19.1.2021";"Rheinland-Pfalz";"56865";"Walhausen";"";"";"Walhausen";"Flur2:15";"07135088";"50,033909";"7,27738";"";"";"WP Walhausen";"114";"66";"ENERCON GmbH";"W66";"";"";"Horizontalläufer";"Windkraft an Land";"5.2.2021";"";"";"juWi Beteiligungs GmbH & Co. NaturPower 13 KG";"ABR957779923477";"Volleinspeisung";"SGE997382902391";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL919465513171";"EEG902476201403";"E31238010000000000000063819801659";"14.6.2005";"";""""""""
"SEE962141524343";"Walhausen W173";"In Betrieb";"Wind";"2000";"2000";"22.6.2005";"19.1.2021";"Rheinland-Pfalz";"56865";"Walhausen";"";"";"Walhausen";"Flur1:5,2";"07135088";"50,034441";"7,281597";"";"";"WP Walhausen";"98";"70";"ENERCON GmbH";"E66";"";"";"Horizontalläufer";"Windkraft an Land";"28.1.2021";"";"";"Sonnenwind GbR";"ABR963534063005";"Volleinspeisung";"SGE975715219132";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL919465513171";"EEG995159594077";"E31238010000000000000063819801660";"22.6.2005";"";""""""""
"SEE949908820733";"HG 10";"In Betrieb";"Wind";"3300";"3300";"20.6.2017";"21.1.2021";"Rheinland-Pfalz";"66919";"Hermersberg";"";"";"Hermersberg";"Flurstück 5004";"07340016";"49,319947";"7,609013";"";"";"Windkraft Herschberg GmbH & Co. KG";"140";"112";"Vestas Deutschland GmbH";"V112";"";"";"Horizontalläufer";"Windkraft an Land";"5.2.2021";"";"";"Windkraft Herschberg GmbH & Co. KG";"ABR903247753633";"Volleinspeisung";"SGE956823199073";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Hochspannung";"SEL939326590882";"EEG969886796240";"E3025401WEA0004100033920000014584";"20.6.2017";"";""""""""
"SEE901834371338";"HOR01";"In Betrieb";"Wind";"3300";"3300";"31.1.2018";"21.1.2021";"Rheinland-Pfalz";"66851";"Horbach";"";"";"Horbach";"0 Flurstücke 346 und 347";"07340025";"49,339308";"7,633772";"";"";"WP Horbach GmbH & Co. KG";"137";"126";"Vestas Deutschland GmbH";"V-126";"";"";"Horizontalläufer";"Windkraft an Land";"16.2.2021";"";"";"WP Horbach GmbH & Co. KG";"ABR984324771016";"Volleinspeisung";"SGE900724129912";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL943976111335";"EEG984640696970";"E3025401WEA0004100036940000015054";"31.1.2018";"";""""""""
"SEE978446700580";"HOR02";"In Betrieb";"Wind";"3300";"3300";"29.12.2017";"21.1.2021";"Rheinland-Pfalz";"66851";"Horbach";"";"";"Horbach";"0 Flurstück 313/2";"07340025";"49,342644";"7,635909";"";"";"WP Horbach GmbH & Co. KG";"137";"126";"Vestas Deutschland GmbH";"V-126";"";"";"Horizontalläufer";"Windkraft an Land";"16.2.2021";"";"";"WP Horbach GmbH & Co. KG";"ABR984324771016";"Volleinspeisung";"SGE900724129912";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL943976111335";"EEG940088240625";"E3025401WEA0004100036940000015055";"29.12.2017";"";""""""""
"SEE947044539847";"KLF1";"In Betrieb";"Wind";"600";"600";"7.12.2001";"25.1.2021";"Rheinland-Pfalz";"54597";"Kleinlangenfeld";"In der Hill";"";"";"";"07232250";"50,276395";"6,482035";"";"";"KLF-Kleinlangenfeld";"65";"44";"ENERCON GmbH";"E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"25.1.2021";"";"";"KLF-Wind GmbH";"ABR971487128580";"Volleinspeisung";"";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"In Prüfung";"Mittelspannung";"SEL965011249803";"EEG988307407831";"E31238010000000000000040057401237";"7.12.2001";"";""""""""
"SEE983019574710";"HOR03";"In Betrieb";"Wind";"3300";"3300";"23.2.2018";"21.1.2021";"Rheinland-Pfalz";"66851";"Horbach";"";"";"Horbach";"0 Flurstück 233";"07340025";"49,340892";"7,641423";"";"";"WP Horbach GmbH & Co. KG";"137";"126";"Vestas Deutschland GmbH";"V-126";"";"";"Horizontalläufer";"Windkraft an Land";"16.2.2021";"";"";"WP Horbach GmbH & Co. KG";"ABR984324771016";"Volleinspeisung";"SGE900724129912";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL943976111335";"EEG922631518894";"E3025401WEA0004100036940000015056";"23.2.2018";"";""""""""
"SEE986361137893";"KLF2";"In Betrieb";"Wind";"600";"600";"11.12.2001";"25.1.2021";"Rheinland-Pfalz";"54597";"Kleinlangenfeld";"In der Hill";"";"";"";"07232250";"50,279436";"6,483651";"";"";"KLF-Kleinlangenfeld";"65";"44";"ENERCON GmbH";"E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"25.1.2021";"";"";"KLF-Wind GmbH";"ABR971487128580";"Volleinspeisung";"";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"In Prüfung";"Mittelspannung";"SEL974003644069";"EEG902694953924";"E31238010000000000000040057421832";"11.12.2001";"";""""""""
"SEE972711172058";"KLF3";"In Betrieb";"Wind";"600";"600";"12.12.2001";"25.1.2021";"Rheinland-Pfalz";"54597";"Kleinlangenfeld";"In der Hill";"";"";"";"07232250";"50,276684";"6,485952";"";"";"KLF-Kleinlangenfeld";"65";"44";"ENERCON GmbH";"E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"25.1.2021";"";"";"KLF-Wind GmbH";"ABR971487128580";"Volleinspeisung";"";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"In Prüfung";"Mittelspannung";"SEL919473227565";"EEG983906480896";"E31238010000000000000040057421833";"12.12.2001";"";""""""""
"SEE978535318177";"HA4065500";"In Betrieb";"Wind";"500";"500";"24.6.1998";"27.1.2021";"Rheinland-Pfalz";"54611";"Hallschlag";"";"";"Hallschlag";"11:76/1";"07233214";"50,34111";"6,421021";"";"";"Windpark Hallschlag";"65";"40";"ENERCON GmbH";"E40";"";"";"Horizontalläufer";"Windkraft an Land";"1.3.2021";"";"";"H&K GmbH";"ABR976429904796";"Volleinspeisung";"";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL924085178617";"EEG942379470551";"E31238010000030212000001160310727";"24.6.1998";"";""""""""
"SEE906426083231";"Cond Kehrig WKA 2";"In Betrieb";"Wind";"2780";"2780";"24.6.2016";"28.1.2021";"Rheinland-Pfalz";"56727";"Mayen";"Kehriger Str.";"907 Z";"";"";"07137025";"50,286971";"7,207214";"";"";"Windpark Cond 1 GmbH & Co. KG";"139";"120";"GE Wind Energy GmbH";"GE-2.75-120 DFIG";"";"";"Horizontalläufer";"Windkraft an Land";"15.2.2021";"";"";"Windpark Cond 1 GmbH & Co. KG";"ABR909485512100";"Volleinspeisung";"";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL947018953952";"EEG967241866393";"";"24.6.2016";"";""""""""
"SEE977633937808";"Windrad";"In Betrieb";"Wind";"3,5";"3,5";"15.11.2013";"28.1.2021";"Rheinland-Pfalz";"55758";"Allenbach";"";"";"";"";"07134003";"";"";"";"";"Windpark 1";"";"";"BRAUN Windturbinen GmbH";"Antaris/SMA";"";"";"Horizontalläufer";"Windkraft an Land";"26.2.2021";"";"";"natürliche Person (ABR937789645743)";"ABR937789645743";"Teileinspeisung";"";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL971678605883";"EEG940371409166";"E31238010000000000000000581081929";"15.11.2013";"";""""""""
"SEE915882492358";"Gaugrehweiler - Heron";"In Betrieb";"Wind";"3300";"3300";"27.6.2017";"28.1.2021";"Rheinland-Pfalz";"67822";"Gaugrehweiler";"";"";"Gaugrehweiler";"316";"07333023";"49,707098";"7,844405";"";"";"Gaugrehweiler - Heron";"140";"112";"Vestas Deutschland GmbH";"V112 3.3MW 50 Hz";"";"";"Horizontalläufer";"Windkraft an Land";"15.2.2021";"";"";"WKA Gaugrehweiler GmbH & Co. KG";"ABR901437207812";"Volleinspeisung";"";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Hochspannung";"SEL928466810639";"EEG928415178100";"E3025401WEA0004100036800000014426";"27.6.2017";"";""""""""
"SEE962238831170";"E 40 - 40835";"In Betrieb";"Wind";"500";"500";"4.3.1997";"8.3.2021";"Rheinland-Pfalz";"56472";"Nisterau";"Waldweg";"7";"";"";"07143277";"50,66781";"7,985619";"";"";"Windenergie - Pfuhler Höhe";"65";"40";"ENERCON GmbH";"E-40/5.40";"";"";"Horizontalläufer";"Windkraft an Land";"15.10.2021";"";"";"natürliche Person (ABR969491942667)";"ABR969491942667";"Volleinspeisung";"";"Energienetze Mittelrhein GmbH &amp; Co. KG (SNB980055629275)";"SNB980055629275";"Geprüft";"Mittelspannung";"SEL970108355756";"EEG989486183158";"E31102010000000000001274450600001";"1.1.2000";"";""""""""
"SEE933395355823";"WKALIRST";"In Betrieb";"Wind";"1500";"1500";"15.2.2001";"29.1.2021";"Rheinland-Pfalz";"56767";"Lirstal";"Kapericher Straße";"";"";"";"07233224";"50,1511";"7,312";"";"";"LIRST";"77";"35";"Fuhrländer AG";"MD77";"";"";"Horizontalläufer";"Windkraft an Land";"30.1.2021";"";"";"Sailer GbR";"ABR906626411667";"Volleinspeisung";"";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL905651835189";"EEG912773313396";"E31238010000070120000000018809145";"15.2.2001";"";""""""""
"SEE912192875024";"WKA";"In Betrieb";"Wind";"1000";"1000";"28.12.2000";"9.2.2021";"Rheinland-Pfalz";"66894";"Martinshöhe";"";"";"Auf dem Plaul";"720/1";"07335203";"49,369523";"7,467375";"";"";"WKA";"70";"54";"Fuhrländer AG";"FL 1000";"";"";"Horizontalläufer";"Windkraft an Land";"10.2.2021";"";"";"Westwind Umwelttechnik GmbH & Co. Windkraftwerk ""Auf dem Plaul"" KG";"ABR991364865148";"Volleinspeisung";"";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Mittelspannung";"SEL989969130037";"EEG967502655612";"E30254010000000000005230823306682";"28.12.2000";"";""""""""
"SEE940717025944";"Windenergie Zaharanski";"In Betrieb";"Wind";"1750";"1750";"22.12.2003";"12.3.2021";"Rheinland-Pfalz";"66887";"Welchweiler";"";"";"Welchweiler";"1140/1";"07336021";"49,572734";"7,492273";"";"";"Windpark Welchweiler";"67";"66";"Vestas Deutschland GmbH";"V66";"";"";"Horizontalläufer";"Windkraft an Land";"27.4.2021";"";"";"natürliche Person (ABR980368935605)";"ABR980368935605";"Volleinspeisung";"";"Pfalzwerke Netz AG (SNB961471621746)";"SNB961471621746";"Geprüft";"Mittelspannung";"SEL908682614891";"EEG926171348263";"E30254010000000000005230826706683";"22.12.2003";"";""""""""
